Year,Month,Hotel ID,Hotel Name,Total Rating,Overall Customers,Rank,Change
2005,April,98034,Holiday Inn Express - Medical Center Midtown,4.2,5,28,-1
2005,April,249713,Holiday Inn Univ of Memphis,4.0,2,29,-1
2005,April,105177,Hampton Inn Memphis - Southwind,4.0,1,30,-1
2005,April,98021,Courtyard by Marriott Memphis East/Park Avenue,4.0,1,31,-1
2005,April,224306,Homewood Suites by Hilton Memphis-Poplar,4.0,2,32,-1
2005,April,672520,Hyatt Place Memphis Primacy Parkway,3.8,5,33,-1
2005,April,98058,Memphis Marriott,3.6666666666666665,6,34,-1
2005,April,223104,Extended Stay Deluxe - Memphis - Wolfchase Galleria,3.3333333333333335,3,35,-1
2005,April,98018,Motel 6,3.3333333333333335,3,36,21
2005,April,220079,Holiday Inn Select Memphis - Downtown (Beale Street),3.2222222222222223,9,37,-2
2005,April,105190,SpringHill Suites Memphis East / Galleria,3.0,2,38,-2
2005,April,105236,BEST WESTERN Galleria Inn and Suites,3.0,1,39,22
2005,April,105247,Extended Stay America - Memphis - Mt. Moriah,3.0,1,40,-3
2005,April,239353,Colonial Inn & Suites,3.0,1,41,-3
2005,April,98036,Hampton Inn Memphis-Poplar,3.0,2,42,-3
2005,April,122561,Motel 6 Memphis East,3.0,1,43,-3
2005,April,122542,Alberts Cabins,3.0,1,44,-3
2005,April,98048,Artisan Hotel Memphis,3.0,9,45,-3
2005,April,105241,Fairfield Inn Memphis I-240 & Perkins,3.0,2,46,-3
2005,April,105170,Memphis-I-240 at Thousand Oaks Hotel,3.0,1,47,-3
2005,April,258813,Homewood Suites Memphis - Hacks Cross,3.0,2,48,-3
2005,April,98019,Motel 6 Memphis - Graceland,2.3333333333333335,3,49,-2
2005,April,98031,La Quinta Inn & Suites Memphis Airport Graceland,2.0,2,50,-2
2005,April,122567,Homestead Studio Suites - Memphis - Airport,2.0,1,51,-2
2005,April,98020,Courtyard by Marriott Memphis Airport,2.0,3,52,-2
2005,April,105194,Econo Lodge,1.5,2,53,-2
2005,April,98037,Airport Inn,1.0,5,54,-2
2005,April,105198,Guest Inn,1.0,1,55,-2
2005,April,122494,American Inn Memphis,1.0,1,56,-2
2005,April,98071,Motel 6 Memphis Downtown,1.0,1,57,-2
2005,April,98023,Knights Inn Airport,1.0,1,58,-2
2005,April,105222,Super 8 Memphis / Downtown / Graceland Area,1.0,4,59,-1
2005,April,1485414,Vista Inn Motel Downtown Memphis,1.0,1,60,-1
2005,May,122584,Comfort Suites I-240 East-Airport,17.333333333333332,3,1,2
2005,May,223758,Drury Inn & Suites Memphis Northeast,16.875,8,2,0
2005,May,248601,Holiday Inn Express American Way/Airport,15.0,5,3,-2
2005,May,310409,Residence Inn Memphis Downtown,14.1,10,4,0
2005,May,105160,Hampton Inn Memphis-Walnut Grove/Baptist Hospital East,14.0,2,5,0
2005,May,98045,Memphis Marriott East,13.0,3,6,3
2005,May,223103,Hampton Inn & Suites Memphis - Beale Street,11.91304347826087,23,7,3
2005,May,105151,La Quinta Inn & Suites Memphis Primacy Parkway,11.0,5,8,-2
2005,May,122581,Fairfield Inn & Suites Memphis East,11.0,2,9,-2
2005,May,223886,SpringHill Suites Memphis Downtown,10.875,8,10,-2
2005,May,98039,Memphis Marriott Downtown,10.25,8,11,0
2005,May,223744,Baymont Inn & Suites Memphis East,10.2,5,12,0
2005,May,105192,Sleep Inn at Court Square,9.75,16,13,0
2005,May,295791,Hilton Memphis,8.5625,16,14,0
2005,May,105281,Comfort Inn Downtown,7.774193548387097,31,15,0
2005,May,223774,Madison Hotel,7.586206896551724,29,16,0
2005,May,111855,Embassy Suites Memphis,7.357142857142857,14,17,3
2005,May,125626,Elvis Presley's Heartbreak Hotel,7.245901639344262,61,18,0
2005,May,105238,Staybridge Suites Memphis - Poplar Ave East,7.0,8,19,-2
2005,May,98034,Holiday Inn Express - Medical Center Midtown,6.666666666666667,6,20,8
