Year,Month,Hotel ID,Hotel Name,Total Rating,Overall Customers,Rank,Change
2005,April,88155,Embassy Suites Indianapolis - Downtown,8.25,8,21,-3
2005,April,111624,Hampton Inn Indianapolis Dwtn Across from Circle Centre,7.142857142857143,7,22,-3
2005,April,224820,Red Roof Inn Indianapolis North - College Park,7.0,2,23,-3
2005,April,88168,Hyatt Regency Indianapolis,6.7272727272727275,11,24,-3
2005,April,91462,Courtyard Indianapolis South,6.5,2,25,-3
2005,April,141972,Quality Inn & Suites East,6.25,4,26,-3
2005,April,91474,TownePlace Suites Indianapolis NW,6.0,1,27,-3
2005,April,265878,Radisson Hotel Indianapolis Airport,5.636363636363637,11,28,-3
2005,April,88164,Crowne Plaza Indianapolis Downtown (Union Station),5.285714285714286,7,29,-3
2005,April,288193,The Suites at 14 West,5.0,2,30,-3
2005,April,120813,Country Inn & Suites By Carlson Indianapolis-South,5.0,1,31,-3
2005,April,120783,Columbia Club,5.0,1,32,-3
2005,April,88186,The Westin Indianapolis,4.666666666666667,9,33,-2
2005,April,88173,Omni Severin Hotel,4.578947368421052,19,34,-2
2005,April,91450,Holiday Inn Express Indianapolis South,4.5,2,35,-2
2005,April,91509,Marriott Indianapolis North,4.333333333333333,6,36,-2
2005,April,91490,Super 8 Indianapolis College Park,4.0,2,37,-2
2005,April,251963,Super 8 Indianapolis South,4.0,1,38,-2
2005,April,91458,Fairfield Inn Indianapolis South,4.0,1,39,-2
2005,April,223827,Fairfield Inn & Suites Indianapolis East,4.0,1,40,-2
2005,April,91558,La Quinta Inn Indianapolis East,4.0,1,41,-2
2005,April,120794,Hyatt Place Indianapolis Airport,4.0,1,42,-2
2005,April,268139,America's Best Inn & Suites Indianapolis / Airport Area,3.5,2,43,-2
2005,April,224830,Extended Stay Deluxe - Indianapolis - Northwest - I-465,3.5,4,44,-2
2005,April,631598,Candlewood Suites Indianapolis Dwtn Medical Dist,3.5,2,45,-2
2005,April,88171,Marriott Indianapolis East,3.5,4,46,-2
2005,April,144736,Dollar Inn - Indianapolis,3.142857142857143,7,47,-2
2005,April,88172,Hilton Indianapolis North,3.111111111111111,9,48,-2
2005,April,240139,Super 8 Indianapolis/Emerson,3.0,1,49,-2
2005,April,120810,Dollar Inn - Castleton,3.0,1,50,-2
2005,April,91506,The Gatehouse Suites Indianapolis,3.0,2,51,-2
2005,April,224793,La Quinta Inn Indianapolis Airport Executive Drive,3.0,2,52,-2
2005,April,91573,University Place Conference Center & Hotel Indianapolis,2.75,4,53,-2
2005,April,88153,Best Inn,2.6666666666666665,3,54,1
2005,April,91441,Baymont Inn & Suites Indianapolis South,2.5,2,55,-3
2005,April,91446,Bridgemont Residence Inn,2.0,1,56,-3
